"date","geography","value_type","value"
2020-04-14,"London","hospital_prev",3595
2020-04-14,"London","icu_prev",1026
2020-04-14,"Midlands","hospital_prev",2878
2020-04-14,"Midlands","icu_prev",467
2020-04-14,"North East and Yorkshire","hospital_prev",2246
2020-04-14,"North East and Yorkshire","icu_prev",299
2020-04-14,"North West","hospital_prev",2731
2020-04-14,"North West","icu_prev",295
2020-04-14,"South East","hospital_prev",2005
2020-04-14,"South East","icu_prev",342
2020-04-14,"South West","hospital_prev",959
2020-04-14,"South West","icu_prev",117
2020-04-15,"East of England","hospital_inc",113
2020-04-15,"England","hospital_inc",1608
2020-04-15,"London","hospital_inc",412
2020-04-15,"Midlands","hospital_inc",242
2020-04-15,"North East and Yorkshire","hospital_inc",254
2020-04-15,"North West","hospital_inc",247
2020-04-15,"South East","hospital_inc",228
2020-04-15,"South West","hospital_inc",112
2020-04-15,"East of England","hospital_prev",1313
2020-04-15,"East of England","icu_prev",308
